Model,Target,scaler,Feat Selection,Type,Num of Features,Train_R2_CV,Adj_Train_R2_CV,Val_R2_CV,Adj_Val_R2_CV,Train_RMSE_CV,Val_RMSE_CV,R2(All_X),Adj_R2(All_X),rmse(All_X)
LinearRegression,DERSclrmA,StandardScaler,PCA,CV,38,0.7842314554005991,,-46.720877914011155,6.03054043959587,0.06362816418911466,0.5849101478656015,,,
LinearRegression,DERSclrmA,StandardScaler,PCA,All_data,38,,,,,,,0.6677523960008895,0.6603691159120204,0.07709836590766016
LinearRegression,DERSclrmA,StandardScaler,FDR,CV,38,0.7842314554005991,,-46.720877914011155,6.03054043959587,0.06362816418911466,0.5849101478656015,,,
LinearRegression,DERSclrmA,StandardScaler,FDR,All_data,38,,,,,,,0.6677523960008895,0.6603691159120204,0.07709836590766016
LinearRegression,DERSclrmA,StandardScaler,Lasso,CV,38,0.7842314554005991,,-46.720877914011155,6.03054043959587,0.06362816418911466,0.5849101478656015,,,
LinearRegression,DERSclrmA,StandardScaler,Lasso,All_data,38,,,,,,,0.6677523960008895,0.6603691159120204,0.07709836590766016
LinearRegression,DERSclrmA,RobustScaler,PCA,CV,36,0.6830638524952614,,-96.76398393449138,-inf,0.07559271131661936,0.9609510660756039,,,
LinearRegression,DERSclrmA,RobustScaler,PCA,All_data,36,,,,,,,0.6677523960008895,0.6603691159120204,0.07709836590766016
LinearRegression,DERSclrmA,RobustScaler,FDR,CV,36,0.6830638524952614,,-96.76398393449138,-inf,0.07559271131661936,0.9609510660756039,,,
LinearRegression,DERSclrmA,RobustScaler,FDR,All_data,36,,,,,,,0.6677523960008895,0.6603691159120204,0.07709836590766016
LinearRegression,DERSclrmA,RobustScaler,Lasso,CV,36,0.6830638524952614,,-96.76398393449138,-inf,0.07559271131661936,0.9609510660756039,,,
LinearRegression,DERSclrmA,RobustScaler,Lasso,All_data,36,,,,,,,0.6677523960008895,0.6603691159120204,0.07709836590766016
LinearRegression,DERSnamA,StandardScaler,PCA,CV,58,0.8174544015695787,0.7335778168334303,-1.415974624437862,1.4332114235724054,0.05988392531304492,0.24098553537322023,,,
LinearRegression,DERSnamA,StandardScaler,PCA,All_data,58,,,,,,,0.6779043289624104,0.6707466473837972,0.07968666906383322
LinearRegression,DERSnamA,StandardScaler,FDR,CV,58,0.8174544015695787,0.7335778168334303,-1.415974624437862,1.4332114235724054,0.05988392531304492,0.24098553537322023,,,
LinearRegression,DERSnamA,StandardScaler,FDR,All_data,58,,,,,,,0.6779043289624104,0.6707466473837972,0.07968666906383322
LinearRegression,DERSnamA,StandardScaler,Lasso,CV,58,0.8174544015695787,0.7335778168334303,-1.415974624437862,1.4332114235724054,0.05988392531304492,0.24098553537322023,,,
LinearRegression,DERSnamA,StandardScaler,Lasso,All_data,58,,,,,,,0.6779043289624104,0.6707466473837972,0.07968666906383322
LinearRegression,DERSnamA,RobustScaler,PCA,CV,54,0.6768166087271358,0.6527222503663455,-3.435808783996734,-inf,0.07966405098922441,0.31364696412671783,,,
LinearRegression,DERSnamA,RobustScaler,PCA,All_data,54,,,,,,,0.6779043289624104,0.6707466473837972,0.07968666906383322
LinearRegression,DERSnamA,RobustScaler,FDR,CV,54,0.6768166087271358,0.6527222503663455,-3.435808783996734,-inf,0.07966405098922441,0.31364696412671783,,,
LinearRegression,DERSnamA,RobustScaler,FDR,All_data,54,,,,,,,0.6779043289624104,0.6707466473837972,0.07968666906383322
LinearRegression,DERSnamA,RobustScaler,Lasso,CV,54,0.6768166087271358,0.6527222503663455,-3.435808783996734,-inf,0.07966405098922441,0.31364696412671783,,,
LinearRegression,DERSnamA,RobustScaler,Lasso,All_data,54,,,,,,,0.6779043289624104,0.6707466473837972,0.07968666906383322
LinearRegression,DERSgmA,StandardScaler,PCA,CV,60,0.8186390739811478,0.7347806602954364,-2.37012928116937,1.3862486862674233,0.05653431345783742,0.26575329885940663,,,
LinearRegression,DERSgmA,StandardScaler,PCA,All_data,60,,,,,,,0.6671853668220938,0.6597894860848069,0.07637593382196935
LinearRegression,DERSgmA,StandardScaler,FDR,CV,60,0.8186390739811478,0.7347806602954364,-2.37012928116937,1.3862486862674233,0.05653431345783742,0.26575329885940663,,,
LinearRegression,DERSgmA,StandardScaler,FDR,All_data,60,,,,,,,0.6671853668220938,0.6597894860848069,0.07637593382196935
LinearRegression,DERSgmA,StandardScaler,Lasso,CV,60,0.8186390739811478,0.7347806602954364,-2.37012928116937,1.3862486862674233,0.05653431345783742,0.26575329885940663,,,
LinearRegression,DERSgmA,StandardScaler,Lasso,All_data,60,,,,,,,0.6671853668220938,0.6597894860848069,0.07637593382196935
LinearRegression,DERSgmA,RobustScaler,PCA,CV,57,0.6908643772618386,0.6670838809536871,-6.908630633705578,-inf,0.07349886160434277,0.45494706614470354,,,
LinearRegression,DERSgmA,RobustScaler,PCA,All_data,57,,,,,,,0.6671853668220938,0.6597894860848069,0.07637593382196935
LinearRegression,DERSgmA,RobustScaler,FDR,CV,57,0.6908643772618386,0.6670838809536871,-6.908630633705578,-inf,0.07349886160434277,0.45494706614470354,,,
LinearRegression,DERSgmA,RobustScaler,FDR,All_data,57,,,,,,,0.6671853668220938,0.6597894860848069,0.07637593382196935
LinearRegression,DERSgmA,RobustScaler,Lasso,CV,57,0.6908643772618386,0.6670838809536871,-6.908630633705578,-inf,0.07349886160434277,0.45494706614470354,,,
LinearRegression,DERSgmA,RobustScaler,Lasso,All_data,57,,,,,,,0.6671853668220938,0.6597894860848069,0.07637593382196935
