Model,Target,scaler,Feat Selection,Type,Num of Features,Train_R2_CV,Adj_Train_R2_CV,Val_R2_CV,Adj_Val_R2_CV,Train_RMSE_CV,Val_RMSE_CV,R2(All_X),Adj_R2(All_X),rmse(All_X)
LinearRegression,cesdtotmA,StandardScaler,PCA,CV,59,0.7658607231588868,0.6581933590826302,-2.271616677650077,1.4775495421823694,0.06421569086772216,0.23833982192672007,,,
LinearRegression,cesdtotmA,StandardScaler,PCA,All_data,59,,,,,,,0.6683428651372693,0.6609727065847641,0.0767489973602772
LinearRegression,cesdtotmA,StandardScaler,FDR,CV,59,0.7658607231588868,0.6581933590826302,-2.271616677650077,1.4775495421823694,0.06421569086772216,0.23833982192672007,,,
LinearRegression,cesdtotmA,StandardScaler,FDR,All_data,59,,,,,,,0.6683428651372693,0.6609727065847641,0.0767489973602772
LinearRegression,cesdtotmA,StandardScaler,Lasso,CV,59,0.7658607231588868,0.6581933590826302,-2.271616677650077,1.4775495421823694,0.06421569086772216,0.23833982192672007,,,
LinearRegression,cesdtotmA,StandardScaler,Lasso,All_data,59,,,,,,,0.6683428651372693,0.6609727065847641,0.0767489973602772
LinearRegression,cesdtotmA,RobustScaler,PCA,CV,55,0.675663770117345,0.6510888921526963,-19.818240666556683,-inf,0.07570915594555713,0.35525229859062235,,,
LinearRegression,cesdtotmA,RobustScaler,PCA,All_data,55,,,,,,,0.6683428651372693,0.6609727065847641,0.0767489973602772
LinearRegression,cesdtotmA,RobustScaler,FDR,CV,55,0.675663770117345,0.6510888921526963,-19.818240666556683,-inf,0.07570915594555713,0.35525229859062235,,,
LinearRegression,cesdtotmA,RobustScaler,FDR,All_data,55,,,,,,,0.6683428651372693,0.6609727065847641,0.0767489973602772
LinearRegression,cesdtotmA,RobustScaler,Lasso,CV,55,0.675663770117345,0.6510888921526963,-19.818240666556683,-inf,0.07570915594555713,0.35525229859062235,,,
LinearRegression,cesdtotmA,RobustScaler,Lasso,All_data,55,,,,,,,0.6683428651372693,0.6609727065847641,0.0767489973602772
LinearRegression,psatotmA,StandardScaler,PCA,CV,40,0.7367699670351217,-inf,-15.190145555850453,2.7570420966787568,0.05914635288623844,0.32667018935774783,,,
LinearRegression,psatotmA,StandardScaler,PCA,All_data,40,,,,,,,0.6666698394130894,0.6592625025111581,0.0624703386794264
LinearRegression,psatotmA,StandardScaler,FDR,CV,40,0.7367699670351217,-inf,-15.190145555850453,2.7570420966787568,0.05914635288623844,0.32667018935774783,,,
LinearRegression,psatotmA,StandardScaler,FDR,All_data,40,,,,,,,0.6666698394130894,0.6592625025111581,0.0624703386794264
LinearRegression,psatotmA,StandardScaler,Lasso,CV,40,0.7367699670351217,-inf,-15.190145555850453,2.7570420966787568,0.05914635288623844,0.32667018935774783,,,
LinearRegression,psatotmA,StandardScaler,Lasso,All_data,40,,,,,,,0.6666698394130894,0.6592625025111581,0.0624703386794264
LinearRegression,psatotmA,RobustScaler,PCA,CV,34,0.6635363065656937,0.5425371543864829,-9.386333564320543,-inf,0.07295256803616729,0.30720353834476016,,,
LinearRegression,psatotmA,RobustScaler,PCA,All_data,34,,,,,,,0.6666698394130894,0.6592625025111581,0.0624703386794264
LinearRegression,psatotmA,RobustScaler,FDR,CV,34,0.6635363065656937,0.5425371543864829,-9.386333564320543,-inf,0.07295256803616729,0.30720353834476016,,,
LinearRegression,psatotmA,RobustScaler,FDR,All_data,34,,,,,,,0.6666698394130894,0.6592625025111581,0.0624703386794264
LinearRegression,psatotmA,RobustScaler,Lasso,CV,34,0.6635363065656937,0.5425371543864829,-9.386333564320543,-inf,0.07295256803616729,0.30720353834476016,,,
LinearRegression,psatotmA,RobustScaler,Lasso,All_data,34,,,,,,,0.6666698394130894,0.6592625025111581,0.0624703386794264
LinearRegression,DERStotmA,StandardScaler,PCA,CV,66,0.8090419525524691,0.7213195274652036,-3.4910908008917474,1.4246345516909966,0.07266592416051981,0.30792309468960116,,,
LinearRegression,DERStotmA,StandardScaler,PCA,All_data,66,,,,,,,0.6677782057950564,0.6603954992571689,0.09610858952624661
LinearRegression,DERStotmA,StandardScaler,FDR,CV,66,0.8090419525524691,0.7213195274652036,-3.4910908008917474,1.4246345516909966,0.07266592416051981,0.30792309468960116,,,
LinearRegression,DERStotmA,StandardScaler,FDR,All_data,66,,,,,,,0.6677782057950564,0.6603954992571689,0.09610858952624661
LinearRegression,DERStotmA,StandardScaler,Lasso,CV,66,0.8090419525524691,0.7213195274652036,-3.4910908008917474,1.4246345516909966,0.07266592416051981,0.30792309468960116,,,
LinearRegression,DERStotmA,StandardScaler,Lasso,All_data,66,,,,,,,0.6677782057950564,0.6603954992571689,0.09610858952624661
LinearRegression,DERStotmA,RobustScaler,PCA,CV,63,0.6718246544756524,0.6465404625726646,-3.192391715696533,-inf,0.09542275288627959,0.4112646868645812,,,
LinearRegression,DERStotmA,RobustScaler,PCA,All_data,63,,,,,,,0.6677782057950564,0.6603954992571689,0.09610858952624661
LinearRegression,DERStotmA,RobustScaler,FDR,CV,63,0.6718246544756524,0.6465404625726646,-3.192391715696533,-inf,0.09542275288627959,0.4112646868645812,,,
LinearRegression,DERStotmA,RobustScaler,FDR,All_data,63,,,,,,,0.6677782057950564,0.6603954992571689,0.09610858952624661
LinearRegression,DERStotmA,RobustScaler,Lasso,CV,63,0.6718246544756524,0.6465404625726646,-3.192391715696533,-inf,0.09542275288627959,0.4112646868645812,,,
LinearRegression,DERStotmA,RobustScaler,Lasso,All_data,63,,,,,,,0.6677782057950564,0.6603954992571689,0.09610858952624661
